"USER","FRIENDS"
"USER-4016","USER-149"
"USER-4017","USER-4021"
"USER-4021","USER-1745"
"USER-4020","USER-4019"
"USER-4019","USER-3296"
"USER-4023","USER-19"
"USER-4022","USER-153"
"USER-4027","USER-2800"
"USER-4026","USER-4025"
"USER-4025","USER-2798"
"USER-4024","USER-4027"
"USER-2120","USER-2121"
"USER-4028","USER-111"
"USER-4030","USER-1507"
"USER-4031","USER-237"
"USER-4033","USER-49"
"USER-4034","USER-156"
"USER-4035","USER-155"
"USER-4037","USER-59"
"USER-4038","USER-455"
"USER-4039","USER-265"
"USER-4041","USER-1700"
"USER-4040","USER-1453"
"USER-4043","USER-525"
"USER-4042","USER-661"
"USER-4045","USER-4044"
"USER-4044","USER-1989"
"USER-4046","USER-5701"
"USER-4048","USER-67"
"USER-4049","USER-5937"
"USER-4051","USER-4050"
"USER-4050","USER-1265"
"USER-4057","USER-4048"
"USER-4056","USER-4054"
"USER-4055","USER-1265"
"USER-4054","USER-4055"
"USER-4053","USER-67"
"USER-4052","USER-1265"
"USER-4058","USER-637"
"USER-4059","USER-717"
"USER-4060","USER-85"
"USER-3878","USER-1553"
"USER-4061","USER-69"
"USER-4063","USER-67"
"USER-4065","USER-214"
"USER-4064","USER-2069"
"USER-4067","USER-474"
"USER-4066","USER-108"
"USER-4069","USER-4068"
"USER-4068","USER-2071"
"USER-4070","USER-3874"
"USER-4074","USER-1082"
"USER-4073","USER-153"
"USER-4072","USER-252"
"USER-4071","USER-254"
"USER-4076","USER-1294"
"USER-1384","USER-75"
"USER-4077","USER-318"
"USER-4078","USER-94"
"USER-4079","USER-525"
"USER-4082","USER-29"
"USER-4081","USER-66"
"USER-4080","USER-4081"
"USER-4085","USER-2911"
"USER-4084","USER-85"
"USER-4083","USER-93"
"USER-4086","USER-85"
"USER-4087","USER-2034"
"USER-4088","USER-323"
"USER-4089","USER-244"
"USER-4092","USER-1411"
"USER-4091","USER-111"
"USER-4090","USER-1978"
"USER-4093","USER-4103"
"USER-4095","USER-6113"
"USER-4094","USER-296"
"USER-4096","USER-4099"
"USER-4102","USER-213"
"USER-4101","USER-4100"
"USER-4100","USER-4093"
"USER-4099","USER-213"
"USER-4098","USER-4097"
"USER-4097","USER-4096"
"USER-4103","USER-6118"
"USER-4110","USER-3434"
"USER-3434","USER-295"
"USER-4109","USER-4108"
"USER-4108","USER-4107"
"USER-4107","USER-4106"
"USER-4106","USER-4105"
"USER-4105","USER-295"
"USER-298","USER-87"
"USER-3301","USER-502"
"USER-4111","USER-97"
"USER-4112","USER-3091"
"USER-4113","USER-442"
"USER-4115","USER-1126"
"USER-4117","USER-1575"
"USER-4118","USER-7"
"USER-4119","USER-1204"
"USER-1331","USER-1909"
"USER-4121","USER-406"
"USER-4120","USER-406"
"USER-4122","USER-458"
"USER-4123","USER-667"
"USER-4124","USER-458"
"USER-4125","USER-380"
"USER-4126","USER-1926"
"USER-4128","USER-39"
"USER-4127","USER-931"
"USER-4129","USER-238"
"USER-4130","USER-3524"
"USER-4132","USER-1085"
"USER-4134","USER-80"
"USER-4137","USER-4136"
"USER-4136","USER-184"
"USER-3616","USER-4139"
"USER-4139","USER-3616"
"USER-4138","USER-83"
"USER-4140","USER-1393"
"USER-4147","USER-4144"
"USER-4146","USER-4145"
"USER-4145","USER-4144"
"USER-4144","USER-83"
"USER-4143","USER-4147"
"USER-4142","USER-49"
"USER-4149","USER-87"
"USER-4148","USER-128"
"USER-4151","USER-214"
"USER-4150","USER-4149"
"USER-4152","USER-2579"
"USER-4155","USER-3418"
"USER-4154","USER-1112"
"USER-4153","USER-318"
"USER-4158","USER-111"
"USER-4159","USER-1473"
"USER-4160","USER-8"
"USER-4161","USER-147"
"USER-4162","USER-71"
"USER-4164","USER-1214"
"USER-4167","USER-1216"
"USER-4166","USER-49"
"USER-4165","USER-1269"
"USER-4168","USER-229"
"USER-1811","USER-66"
"USER-4170","USER-525"
"USER-4173","USER-948"
"USER-4172","USER-63"
"USER-4171","USER-4172"
"USER-1809","USER-594"
"USER-4176","USER-7"
"USER-4175","USER-236"
"USER-4174","USER-66"
"USER-4178","USER-4177"
"USER-4181","USER-62"
"USER-4180","USER-1704"
"USER-4179","USER-781"
"USER-4182","USER-3195"
"USER-4183","USER-1723"
"USER-4186","USER-4185"
"USER-4185","USER-49"
"USER-4187","USER-184"
"USER-4188","USER-129"
"USER-4189","USER-246"
"USER-4190","USER-227"
"USER-4193","USER-223"
"USER-4192","USER-863"
"USER-4191","USER-1223"
"USER-4195","USER-1452"
"USER-1907","USER-333"
"USER-3540","USER-4654"
"USER-4199","USER-981"
"USER-4198","USER-3200"
"USER-4197","USER-3199"
"USER-4200","USER-3606"
"USER-4207","USER-3618"
"USER-4206","USER-4205"
"USER-4205","USER-4220"
"USER-4204","USER-4203"
"USER-4203","USER-458"
"USER-4202","USER-75"
"USER-4201","USER-3621"
"USER-4210","USER-3619"
"USER-4209","USER-4202"
"USER-4208","USER-4200"
